,lifes,type_Boss,type_Blue,type_Weapon,type_Green,type_Normal,type_Green2,type_Purple,speed,Boss_hp,popTime,total
lvl_1,1,0,0,0,2,15,0,0,0.8/1.1,3,1/1.4,17
lvl_2,1,0,0,0,4,20,0,0,1/1.4,3,1/1.2,24
lvl_3,1,0,0,0,8,12,0,0,1.1/1.4,15,0.7/1.3,20
lvl_4,1,0,0,0,0,15,8,0,1.2/1.4,10,0.7/1.3,23
lvl_5,1,0,0,0,8,17,6,0,1.2/1.4,11,0.7/1.3,31
lvl_6,1,3,0,0,0,18,0,0,1.2/1.4,12,0.7/1.3,21
lvl_7,1,2,0,0,6,18,6,0,1.3/1.4,12,0.7/1.3,32
lvl_8,1,2,6,0,0,18,0,0,1.3/1.4,12,0.7/1.3,26
lvl_9,1,3,6,0,6,18,3,0,1.4/1.5,13,0.7/1.3,36
lvl_10,1,4,4,0,5,18,4,0,1.4/1.5,13,0.6/1.3,35
lvl_11,1,0,0,0,0,18,0,6,1.4/1.5,13,0.6/1.3,24
lvl_12,1,4,5,0,7,18,6,5,1.4/1.5,13,0.6/1.3,45
lvl_13,1,4,5,0,7,18,7,5,1.4/1.6,14,0.6/1.3,46
lvl_14,1,5,6,0,8,18,8,6,1.5/1.7,14,0.6/1.3,51
lvl_15,1,5,6,0,9,18,9,6,1.5/1.7,14,0.6/1.2,53
lvl_16,1,5,8,0,10,18,10,6,1.5/1.8,14,0.6/1.2,57
lvl_17,1,5,8,0,11,18,11,6,1.5/1.8,15,0.6/1.2,59
lvl_18,1,6,8,0,12,18,12,7,1.6/1.8,15,0.6/1.2,63
lvl_19,1,6,8,0,12,18,12,7,1.6/1.8,15,0.6/1.2,63
lvl_20,1,5,5,0,12,18,12,4,1.6/1.8,15,0.6/1.2,56
lvl_21,1,6,8,0,12,18,12,8,1.7/1.9,16,0.5/1.1,64
lvl_22,1,7,10,0,12,18,12,8,1.7/1.9,16,0.5/1.1,67
lvl_23,1,7,10,0,12,18,12,8,1.7/1.9,16,0.5/1.1,67
lvl_24,1,7,10,0,12,18,12,9,1.7/1.9,16,0.5/1.1,68
lvl_25,1,7,10,0,12,18,12,9,1.7/1.9,17,0.5/1.1,68
lvl_26,1,8,10,0,12,18,12,9,1.8/2,17,0.5/1.1,69
lvl_27,1,8,10,0,12,18,12,9,1.8/2,17,0.5/1.1,69
lvl_28,1,8,10,0,12,18,12,10,1.8/2,17,0.5/1.1,70
lvl_29,1,8,10,0,12,18,12,10,1.8/2,18,0.5/1,70
lvl_30,1,9,10,0,12,18,12,10,1.9/2,18,0.5/1,71
lvl_31,1,9,10,0,12,18,12,11,1.9/2,18,0.5/1,72
lvl_32,1,9,10,0,12,18,12,11,1.9/2,18,0.5/1,72
lvl_33,1,9,10,0,12,18,12,12,1.9/2,19,0.5/1,73
lvl_34,1,10,10,0,12,18,12,12,2/2.1,19,0.5/1,74
lvl_35,1,10,10,0,12,18,12,13,2/2.1,19,0.5/1,75
lvl_36,1,10,10,0,12,18,12,14,2/2.2,19,0.5/1,76
lvl_37,1,10,10,0,12,18,12,15,2/2.3,20,0.5/1,77
lvl_38,1,11,10,0,12,18,12,16,2/2.4,20,0.5/1,79
lvl_39,1,11,10,0,12,18,12,17,2/2.5,20,0.5/1,80
lvl_40,1,11,10,0,34,50,12,18,2/2.6,20,0.5/1,135
lvl_endless,1,_,_,_,_,_,0,0,1.0/2.5,12,0.5/1,#VALEUR !
lvl_41,1,12,19,10,20,39,0,0,1.0/2.5,12,0.5/1,100
